Car ID,Timestamp,Pixel_X,Pixel_Y,Actual_X,Actual_Y,Heading
test_009_car_12,00:00:03.633,147.00,313.00,-0.6804575202569446,-1.7879533543642243,-100.05700565356005
test_009_car_12,00:00:03.666,150.50,309.00,-0.6782957660919899,-1.7790187739160574,-103.6015246755369
test_009_car_12,00:00:03.700,154.00,308.00,-0.6777574720051734,-1.7743551224091272,-96.58413247227747
test_009_car_12,00:00:03.733,157.50,305.00,-0.6761477038377235,-1.7668966800262214,-102.17941888121777
test_009_car_12,00:00:03.766,161.50,305.00,-0.6761477038377235,-1.7631891343938821,180
test_009_car_12,00:00:03.799,165.50,302.00,-0.674545564397123,-1.7553124777339297,-101.49731446268794
test_009_car_12,00:00:03.833,172.50,300.00,-0.673481682880761,-1.7460814073170223,-96.5743369689801
test_009_car_12,00:00:03.867,186.00,299.00,-0.6729509995825075,-1.7322517402519944,-92.19752234905968
test_009_car_12,00:00:03.899,190.50,298.00,-0.6724211519507112,-1.7267398520590371,-95.49086593280117
test_009_car_12,00:00:03.932,198.50,297.00,-0.67189213801304,-1.7180129520374696,-93.46895473867136
test_009_car_12,00:00:03.967,207.50,296.00,-0.6713639558033645,-1.7083794439681426,-93.13824849449406
test_009_car_12,00:00:04.000,217.00,295.00,-0.6708366033617318,-1.6983012671418471,-92.99533719068944
test_009_car_12,00:00:04.033,226.50,294.00,-0.6703100787343432,-1.6882389105861562,-92.9953371906887
test_009_car_12,00:00:04.067,235.00,293.00,-0.6697843799735288,-1.6791105004253541,-93.29598337202685
test_009_car_12,00:00:04.099,243.50,292.00,-0.6692595051377238,-1.6699963971756349,-93.2959833720264
test_009_car_12,00:00:04.133,252.50,291.00,-0.6687354522914445,-1.6604382045085901,-93.13824849449497
test_009_car_12,00:00:04.166,261.00,290.00,-0.6682122195052649,-1.6513529729937615,-93.29611319164013
test_009_car_12,00:00:04.200,270.00,290.00,-0.6682122195052649,-1.6431088994220522,180
test_009_car_12,00:00:04.232,278.00,289.00,-0.6676898048557929,-1.6345019650577906,-93.47341764977142
test_009_car_12,00:00:04.267,285.00,287.00,-0.6666474223034298,-1.6255531750696237,-96.6440469069961
test_009_car_12,00:00:04.299,293.00,286.00,-0.6661274505837114,-1.6169800735333555,-93.47082488671424
test_009_car_12,00:00:04.333,302.00,285.00,-0.6656082893669993,-1.6075078966529968,-93.1371895609442
test_009_car_12,00:00:04.367,310.50,283.00,-0.6645723908741896,-1.597262444508082,-95.77344868206922
test_009_car_12,00:00:04.400,318.00,282.00,-0.6640556498286014,-1.5891931598551912,-93.6641053071358
test_009_car_12,00:00:04.432,323.00,281.00,-0.6635397117469932,-1.5834104214176052,-95.0984510723502
test_009_car_12,00:00:04.466,331.50,280.00,-0.6630245747592293,-1.5744555230939652,-93.29235256552278
test_009_car_12,00:00:04.500,340.00,279.00,-0.6625102370009767,-1.565514518199029,-93.2923525655234
test_009_car_12,00:00:04.533,347.50,278.00,-0.6619966966136833,-1.5574948621477804,-93.66394492459324
test_009_car_12,00:00:04.567,354.00,277.00,-0.661483951744555,-1.5503944140674861,-94.13033228141376
test_009_car_12,00:00:04.599,362.00,276.00,-0.6609720005465334,-1.5419458321262016,-93.46766119949984
test_009_car_12,00:00:04.633,370.00,275.00,-0.6604608411782737,-1.533510317521519,-93.46766119950036
test_009_car_12,00:00:04.666,376.50,274.00,-0.6599504718041233,-1.5264448639924806,-94.1315550082436
test_009_car_12,00:00:04.700,384.00,273.00,-0.6594408905940982,-1.5184863375161954,-93.66362420156833
test_009_car_12,00:00:04.732,390.50,271.00,-0.6584240853747074,-1.5102781160577678,-97.06162251972961
